Date,Content
2022-04-05 12:38:18+00:00,"b'@MythiaVTuber Mantap, jadi kayak adek kakak yg mau liburan musim panas'"
2022-04-05 12:22:42+00:00,"b'@MythiaVTuber Uhuyy, akhirnya pny abang berkat papa xea \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'"
2022-04-05 12:16:17+00:00,"b'@MythiaVTuber Ganbarre Miti, jangan sampe sakit karena streaming kamu padat \xf0\x9f\xa5\xba\xf0\x9f\xa5\xba\xe2\x9c\xa8\xe2\x9c\xa8\xf0\x9f\x92\x96\xf0\x9f\x92\x96'"
2022-04-05 12:16:11+00:00,b'@MythiaVTuber ABANG ATAU AYANG NIH MIT ADUUHH'
2022-04-05 12:13:32+00:00,b'@MythiaVTuber Kakak adik yang menggemaskan\xf0\x9f\xa5\xb0\xe2\x9c\xa8'
2022-04-05 12:13:05+00:00,b'@RoraMeeza @MythiaVTuber Nono masih inconsistent banget ini \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
2022-04-05 12:10:41+00:00,b'@MythiaVTuber Hadiahnya apa Mit?? Ciaaaakhh sama-sama punya outfit baru wkwkwkwkwkk \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\nHadiahnya apa Mit?? Ciuman\xe2\x80\xa6 https://t.co/pgyV2e1EIP'
2022-04-05 12:09:37+00:00,b'@MythiaVTuber Huwahh.. ku beneran baru tau'
2022-04-05 12:09:26+00:00,"b'@MythiaVTuber wah punya abang, ganteng pula! mantap mitimitimitimiii'"
2022-04-05 12:09:06+00:00,b'@MythiaVTuber Hadiah buat andi apa mit? \nApa jangan - jangan di kasih kecupan manis\xf0\x9f\x91\x80'
2022-04-05 12:08:56+00:00,b'@MythiaVTuber Sitampan dan sicantik\xe2\x9c\xa8\xe2\x9c\xa8'
2022-04-05 12:07:57+00:00,b'@MythiaVTuber Sekarang jadi abang atau adeknya kakak miti?'
2022-04-05 12:06:47+00:00,b'@MythiaVTuber mana p apex strimnya? we want Team KeiMiRi or Team MiGoYo in action again with fun acts and talks !!! \xf0\x9f\xa4\xa3'
2022-04-05 10:45:13+00:00,b'@MythiaVTuber Bukber bareng pacar? Hmmm \xf0\x9f\xa5\xba'
2022-04-05 10:44:06+00:00,b'@MythiaVTuber Bukber oplen langsung otw nih wkwkwk'
2022-04-05 10:34:47+00:00,b'@MythiaVTuber Bukber bareng ayang\xf0\x9f\xa5\xba\xe2\x9c\xa8\xf0\x9f\x92\x9c'
2022-04-05 10:32:54+00:00,b'@MythiaVTuber Apa yaa\xf0\x9f\xa4\x94'
2022-04-05 10:18:24+00:00,b'@MythiaVTuber saatnya begadang'
2022-04-05 10:18:00+00:00,b'@MythiaVTuber Bukber sm temen cuma wacana\nMending bukber sm mitii \nAwokawokawokawok'
2022-04-05 10:06:37+00:00,b'@MythiaVTuber @ennocrush Waduh Kakak Menjadi Salah Satu Haremnya'
2022-04-05 10:02:19+00:00,b'@MythiaVTuber Kok Sahur Talk #1 aku kelewatan ya?'
2022-04-05 10:00:44+00:00,"b""@MythiaVTuber Sahur dan buka ditemani Yang Mulia? Let's go!!!"""
2022-04-05 09:59:36+00:00,"b'@MythiaVTuber makasih jadwalnya miti,asik sahur dan bukber !!'"
2022-04-05 09:57:13+00:00,b'@MythiaVTuber bukber bareng pacar gmne ceritanya mit?'
2022-04-05 09:55:25+00:00,b'@MythiaVTuber Oh no masuk jam 12 mlm :('
2022-04-05 09:53:35+00:00,"b'@loonaainsworth @MythiaVTuber Kelemot an mod berawal dr oshi \xf0\x9f\x98\xad canda mit,loon \xf0\x9f\x99\x8f'"
2022-04-05 09:51:18+00:00,"b'@MythiaVTuber WUIHH ASIKKK! aku ga ikut puasa sbnrnya but, yes why not semoga bs bangun sih ww\n\nditunggu yaa~'"
2022-04-05 09:51:03+00:00,b'@MythiaVTuber ga sendiri dong kan ada kita yang nemanin nantii ~'
2022-04-05 09:49:23+00:00,b'@MythiaVTuber Wait what? maksudnya afah yah mit bukber dengan pacar?\xf0\x9f\x98\x93'
2022-04-05 09:49:00+00:00,b'@MythiaVTuber Anda pacaran sma diri sndiri??'
2022-04-05 09:44:52+00:00,b'@MythiaVTuber Ga pedulij'
2022-04-05 09:44:04+00:00,b'@MythiaVTuber Aaaa bukber bareng ayang\xf0\x9f\x92\x97\xf0\x9f\x92\x97\xe2\x9c\xa8'
2022-04-05 09:44:03+00:00,"b'@MythiaVTuber Makasih schedule nya mitii ,bakal asik nih sahur ama ngabuburit nya nanti'"
2022-04-05 09:43:42+00:00,b'@MythiaVTuber Pacar siapa tuuhh'
2022-04-05 09:43:05+00:00,b'@MythiaVTuber Uwogh bukber gatuh'
2022-04-05 07:41:01+00:00,"b'@KeigoAria @MythiaVTuber Sheeeeesshhh \xf0\x9f\xa5\xb6\xf0\x9f\xa5\xb6, reflek dan skill gua pas liat video ini langsung Stonks beneran wkwkwkwkwkk'"
2022-04-05 01:47:46+00:00,b'@MythiaVTuber Pagi sayangku~!\nDitunggu schedule-nyaaa :D'
2022-04-05 00:29:36+00:00,b'@MythiaVTuber Mit coba cek ini https://t.co/bZDUuwA374'
2022-04-05 00:08:35+00:00,b'@MythiaVTuber Pagi Mythiii \xf0\x9f\x91\x80\xe2\x9d\xa4\xef\xb8\x8f\xe2\x98\x80\xef\xb8\x8f'
2022-04-05 00:00:01+00:00,"b'@MythiaVTuber ohaaaaamitiiiwwwww, have a nice day sweetie!\n\nazekk, ditunggu ya cantik!'"
2022-04-04 22:31:01+00:00,"b'tadi pas ngestream nunggu saur lupa run as administrator di obs jadi patah patah dan burik streamnya \xf0\x9f\xa5\xb2, \n\nmotongnya\xe2\x80\xa6 https://t.co/YYl25z2iU9'"
2022-04-04 17:49:18+00:00,b'@MythiaVTuber Ada opsi time out dipake'
2022-04-04 17:10:00+00:00,b'@MythiaVTuber Wih ada yutuber ygy'
2022-04-04 17:05:54+00:00,b'@ayitanalvaro @MythiaVTuber Chat live nya kenapa bang'
2022-04-04 13:01:32+00:00,b'@MythiaVTuber Istirahat miti jangan dipaksa Semangat terus emang bocil\xc2\xb2 toxic kurang ajar kalo chat ga mikir\xc2\xb2 dulu\xe2\x80\xa6 https://t.co/su1rUfOKLQ'
2022-04-04 11:54:02+00:00,b'@MythiaVTuber Kalau butuh break gpp.'
2022-04-04 11:26:19+00:00,b'@MythiaVTuber Kau kenapa mit.. Ada yang bisa jelasin?'
2022-04-04 11:22:50+00:00,b'@MythiaVTuber Kalo boleh tau masalahnya apa ya?'
2022-04-04 11:17:05+00:00,"b'@MythiaVTuber Aku hanya bisa bilang\n""Terbiasalah didunia ini memang harus ada yang bisa beradaptasi dalam bentuk apapun""'"
2022-04-04 09:17:00+00:00,b'@MythiaVTuber Yg sabar mitimi....'
2022-04-04 08:11:52+00:00,"b'@MythiaVTuber @ayitanalvaro Aku tau, dan Selasa aku harus ujian UKK, sial\xf0\x9f\x99\x83'"
2022-04-04 08:05:38+00:00,b'@MythiaVTuber Biasalah'
2022-04-04 07:13:56+00:00,"b'@MythiaVTuber Tbh aku udh jarang mampir jadi gatau separah apa, cuma sblm aku jarang mampir udh cukup annoying eman\xe2\x80\xa6 https://t.co/JxQlah1hTy'"
2022-04-04 04:48:26+00:00,b'@MythiaVTuber Wuw ngeri ngeri sedep'
2022-04-04 04:10:46+00:00,"b'@MythiaVTuber Hmm....Toxictivity kahh?? Untuk dititik ini aku cmn bisa saranin Stream di twitch, aku gk tau konteks\xe2\x80\xa6 https://t.co/sLJfEPgyGO'"
2022-04-04 04:05:30+00:00,b'@graphicalhazard @MythiaVTuber om... mau tanya cara update minecraft nya bgmn?'
2022-04-04 03:48:13+00:00,b'@TheZrm @MythiaVTuber emangnya kenapa gitu chatnya ? sorry banget soalnya blm sempet nonton \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb'
2022-04-04 02:06:44+00:00,b'@MythiaVTuber Parah kah mit? Aku minta maaf ya kalo ga sempat jagain streamnya\nMaaf banget gabisa dateng karena ket\xe2\x80\xa6 https://t.co/zYuEUKVd3h'
2022-04-04 01:43:49+00:00,b'@MythiaVTuber Lah parah banget berarti isi chatnya'
2022-04-04 01:34:38+00:00,"b'@MythiaVTuber semoga kedepannya chat bs lebih konsusif lagi.. aku cmn bs berharap dan support kamu.. gabisa ngapa""in selain itu'"
2022-04-04 01:33:50+00:00,"b'@MythiaVTuber ..parah banget kah?, aku minta maaf ya.. kamu udh ngerasain gini brp kali \xf0\x9f\x98\xad..\n\nanak cantik ga pantes\xe2\x80\xa6 https://t.co/KCQd0INYrT'"
2022-04-04 01:02:19+00:00,b'lohh.. apa ini Miti \xf0\x9f\x98\x86 @MythiaVTuber https://t.co/axhbrkavGA'
2022-04-04 00:35:16+00:00,b'@MythiaVTuber Ganba sayang'
2022-04-04 00:30:51+00:00,"b'@MythiaVTuber mungkin kalau mau kasi saran, mau stream having fun mending di twitch karna di twitch yang nonton leb\xe2\x80\xa6 https://t.co/lfzyUbhRiQ'"
2022-04-04 00:25:01+00:00,b'@MythiaVTuber Pengen heran cuma yang komen dari wakanda'
2022-04-04 00:20:33+00:00,"b'@MythiaVTuber Semangat myth, yah ini emang resiko jadi vtuber yang melokal sih bocil2 toxic biadabnya ga terhitung\xe2\x80\xa6 https://t.co/tRM5ue1ORY'"
2022-04-03 23:49:48+00:00,"b'@MythiaVTuber Tolong ya, yang komen, kalo punya otak tuh di pake \xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac'"
2022-04-03 23:27:20+00:00,b'@nastarkejucraft @MythiaVTuber bawa ke tempat cambuk sekalian'
